Verein,Name,Einsätze,Einwechslungen,Auswechslungen,Spielminuten,Tore,Torschüsse,Torvorlagen,Torschussvorlagen,Elfmeter verwandelt,Elfmeter verschossen,Laufleistung,Ballkontakte,Zweikampfquote,gespielte Pässe,angekommene Pässe,Fehlpässe,Passquote,Fouls,Gefoult worden,Abseits,Gelbe Karten,Gelb-rote Karten,Rote Karten,Note
RB Leipzig,Peter Gulacsi,33,0,0,2970,0,0,0,1,0,0,183.21,1246,77,1017,639,378,63,1,3,0,0,0,1,2.89
RB Leipzig,Willi Orban,28,0,0,2517,3,25,1,3,0,0,274.68,1824,66,1407,1146,261,81,32,32,2,0,1,7,2.98
RB Leipzig,Rani Khedira,10,9,1,163,0,2,0,1,0,0,24.07,143,59,99,80,19,81,4,2,0,0,0,0,3.00
RB Leipzig,Lukas Klostermann,1,0,0,90,0,1,0,0,0,0,10.12,46,27,24,14,10,58,2,0,0,0,0,1,3.00
RB Leipzig,Diego Demme,32,0,2,2870,1,14,3,30,0,0,382.59,2774,45,2195,1737,458,79,79,74,1,0,0,4,3.06
RB Leipzig,Marcel Sabitzer,32,1,9,2593,8,79,5,36,0,0,326.68,1581,45,1101,750,351,68,24,39,14,0,0,3,3.10
RB Leipzig,Yussuf Poulsen,29,4,18,2054,5,48,4,26,0,0,255.07,1083,45,640,421,219,66,61,49,17,0,0,4,3.12
RB Leipzig,Marvin Compper,25,0,4,2098,2,8,0,1,0,0,227.87,1490,60,1186,944,242,80,22,14,0,0,0,6,3.19
RB Leipzig,Stefan Ilsanker,33,4,1,2648,0,9,1,11,0,0,314.31,2077,57,1584,1239,345,78,48,26,4,0,0,8,3.32
RB Leipzig,Marcel Halstenberg,30,0,2,2657,0,28,3,28,0,0,310.92,1861,61,1104,797,307,72,36,26,2,0,0,4,3.35
RB Leipzig,Dominik Kaiser,25,18,3,961,1,15,0,22,0,0,125.52,553,48,361,255,106,71,13,22,2,0,0,2,3.41
RB Leipzig,Bernardo,22,1,3,1892,0,14,1,14,0,0,224.50,1370,59,831,618,213,74,28,16,1,0,0,3,3.43
RB Leipzig,Benno Schmitz,16,5,4,990,0,10,2,8,0,0,119.90,797,63,470,318,152,68,14,10,2,0,0,2,3.59
RB Leipzig,Dayot Upamecano,12,4,2,667,0,1,0,1,0,0,76.08,571,54,421,331,90,79,15,3,0,0,0,3,3.63
RB Leipzig,Oliver Burke,25,20,5,632,1,9,2,7,0,0,83.88,323,34,203,147,56,72,11,6,6,0,0,1,3.83
RB Leipzig,Fabio Coltorti,1,0,0,90,0,0,0,0,0,0,5.45,41,100,34,25,9,74,0,0,0,0,0,0,4.00
RB Leipzig,Davie Selke,21,19,2,453,4,13,1,6,0,0,60.85,237,45,147,91,56,62,19,10,12,0,0,4,4.08
RB Leipzig,Federico Palacios Martinez,2,2,0,56,0,2,0,1,0,0,8.34,36,42,16,7,9,44,1,1,1,0,0,0,4.50
TSG Hoffenheim,Oliver Baumann,34,0,0,3060,0,0,0,1,0,0,199.89,1694,94,1286,960,326,75,1,8,0,0,0,1,2.84
TSG Hoffenheim,Sebastian Rudy,32,0,3,2786,2,27,9,64,0,0,340.11,2255,50,1619,1305,314,81,51,47,0,0,0,9,2.86
TSG Hoffenheim,Kerem Demirbay,28,1,14,2169,6,51,9,60,0,0,285.01,1630,41,1026,810,216,79,53,35,2,0,0,4,2.91
TSG Hoffenheim,Benjamin Hübner,25,0,6,2143,2,18,4,8,0,0,241.23,1880,61,1504,1319,185,88,56,33,2,0,0,10,2.98
TSG Hoffenheim,Baris Atik,3,3,0,70,0,1,0,0,0,0,9.20,63,53,46,36,10,78,1,3,0,0,0,0,3.00
